instrument_token,exchange_token,tradingsymbol,name,segment
134117380,523896,APIL,AVI PRODUCTS INDIA,BSE
129578500,506166,APIS,APIS INDIA.,BSE
132376580,517096,APLAB,APLAB.,BSE
6599681,25780,APLAPOLLO,APL APOLLO TUBES,NSE
6483969,25328,APLLTD,ALEMBIC PHARMA,NSE
138950148,542774,APMFINVEST,APM FINVEST ,BSE
134025476,523537,APMIN,APM INDUSTRIES.,BSE
290305,1134,APOLLO,APOLLO MICRO SYSTEMS,NSE
131183876,512437,APOLLOFI,APOLLO FINVEST (INDIA).,BSE
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,NSE
3676417,14361,APOLLOPIPE,APOLLO PIPES,NSE
137872900,538566,APOLLOTRI,APOLLO TRICOAT TUBES,BSE
41729,163,APOLLOTYRE,APOLLO TYRES,NSE
1613313,6302,APOLSINHOT,APOLLO SINDOORI HOTEL,NSE
2753281,10755,APTECHT,APTECH,NSE
131160068,512344,ARAVALIS,ARAVALI SECURITIES & FINANCE L,BSE
133150980,520121,ARCEEIN,ARCEE INDUSTRIES.,BSE
138274564,540135,ARCFIN,ARC FINANCE ,BSE
4299521,16795,ARCHIDPLY,ARCHIDPLY IND.,NSE
1456129,5688,ARCHIES,ARCHIES,NSE
134307844,524640,ARCHITORG,ARCHIT ORGANOSYS.,BSE
136221188,532114,AREALTY,ALCHEMIST REALTY.,BSE
46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,NSE
134873860,526851,AREXMIS,AREX INDUSTRIES.,BSE
134249476,524412,AREYDRG,AAREY DRUGS & PHARMACEUTICALS,BSE
138022660,539151,ARFIN,ARFIN INDIA ,BSE
134688004,526125,ARHNTTO,ARIHANT TOURNESOL.,BSE
3892225,15204,ARIES,ARIES AGRO.,NSE
3554561,13885,ARIHANT,ARIHANT FOUN & HOU,NSE
5164801,20175,ARIHANTSUP-BE,ARIHANT SUPERSTRUCT,NSE
130970884,511605,ARIHCAPM,ARIHANT CAPITAL MARKETS.,BSE
135940356,531017,ARISE,ARIHANTS SECURITIES.,BSE
137870340,538556,ARMAN,ARMAN HOLDINGS,BSE
4419329,17263,ARMANFIN,ARMAN FIN SERV,NSE
137489668,537069,ARNOLD,ARNOLD HOLDINGS,BSE
3726593,14557,AROGRANITE,ARO GRANITE IND..,NSE
2370561,9260,ARROWGREEN,ARROW GREENTECH,NSE
4562177,17821,ARSHIYA,ARSHIYA,NSE
4659713,18202,ARSSINFRA,ARSS INFRA PROJ.,NSE
136012036,531297,ARTEFACT,ARTEFACT PROJECTS.,BSE
138923524,542670,ARTEMISELC,ARTEMIS ELECTRICALS,BSE
4329729,16913,ARTEMISMED,ARTEMIS MED SERVICE,NSE
133666308,522134,ARTSONEN,ARTSON ENGINEERING.,BSE
128004100,500016,ARUNAHTEL,ARUNA HOTELS.,BSE
134895364,526935,ARUNIS,ARUNIS ABODE,BSE
721921,2820,ARVEE-BE,ARVEE LABORATORIES I,NSE
49409,193,ARVIND,ARVIND,NSE
2332417,9111,ARVINDFASN,ARVIND FASHIONS,NSE
2676993,10457,ARVSMART,ARVIND SMARTSPACES,NSE
135742724,530245,ARYAMAN,ARYAMAN FINANCIAL SERVICES,BSE
138797060,542176,ARYAN,ARYAN SHARE & STOCK BROKERS LT,BSE
138100484,539455,ARYAVAN,ARYAVAN ENTERPRISE,BSE
1376769,5378,ASAHIINDIA,ASAHI INDIA GLASS,NSE
6422529,25088,ASAHISONG,ASAHI SONGWON COLOR,NSE
2722305,10634,ASAL,AUTOMOTIVE STAMPINGS & AS,NSE
4505089,17598,ASALCBR,ASSO ALCOHOLS & BREW,NSE
132908548,519174,ASHAI,ASHIANA AGRO INDUSTRIES.,BSE
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,NSE
131135236,512247,ASHCAP,ASHIRWAD CAPITAL.,BSE
137988356,539017,ASHFL,AKME STAR HOUSING FINANCE LIMI,BSE
6247169,24403,ASHIANA,ASHIANA HOUSING,NSE
151071236,590122,ASHIKACR,ASHIKA CREDIT CAPITAL.,BSE
52737,206,ASHIMASYN,ASHIMA,NSE
131430660,513401,ASHIS,ASHIANA ISPAT.,BSE
135789828,530429,ASHISHPO,ASHISH POLYPLAST.,BSE
138675716,541702,ASHNI,ASHNISHA INDUSTRIES ,BSE
130015236,507872,ASHNOOR,ASHNOOR TEXTILE MILLS.,BSE
5166593,20182,ASHOKA,ASHOKA BUILDCON,NSE
134296068,524594,ASHOKALC,ASHOK ALCO-CHEM.,BSE
54273,212,ASHOKLEY,ASHOK LEYLAND,NSE
134703876,526187,ASHRAM,ASHRAM ONLINE.COM.,BSE
134872836,526847,ASHSI,ASHIRWAD STEELS & INDUSTRIES L,BSE
136081412,531568,ASHUTPM,ASHUTOSH PAPER MILLS.,BSE
137926916,538777,ASIACAP,ASIA CAPITAL,BSE
135770884,530355,ASIANENE,ASIAN ENERGY SERVICES,BSE
4716033,18422,ASIANHOTNR,ASIAN HOTELS (NORTH),NSE
60417,236,ASIANPAINT,ASIAN PAINTS,NSE
3811585,14889,ASIANTILES,ASIAN GRANITO IND..,NSE
133000196,519532,ASIANTNE,ASIAN TEA & EXPORTS.,BSE
135910148,530899,ASIAPAK,ASIA PACK.,BSE
128515844,502015,ASIIL,ASI INDUSTRIES,BSE
134255108,524434,ASINPET,ASIAN PETROPRODUCTS & EXPORTS,BSE
135865092,530723,ASITCFIN,ASIT C.MEHTA FINANCIAL SERVICE,BSE
134766852,526433,ASMTEC,ASM TECHNOLOGIES.,BSE
4421121,17270,ASPINWALL,ASPINWALL & CO,NSE
138717444,541865,ASRL,ADD-SHOP E-RETAIL ,BSE
138985220,542911,ASSAMENT,ASSAM ENTRADE ,BSE
136152836,531847,ASTAR,ASIAN STAR CO.LTD.,BSE
4538369,17728,ASTEC,ASTEC LIFESCIENCES,NSE
386049,1508,ASTERDM,ASTER DM HEALTHCARE.,NSE
3691009,14418,ASTRAL,ASTRAL,NSE
2974209,11618,ASTRAMICRO,ASTRA MICROWAVE,NSE
1436161,5610,ASTRAZEN,ASTRAZENECA PHARMA IND LT,NSE
223745,874,ASTRON,ASTRON PAPER BORD MIL,NSE
130852868,511144,ASYAINFO,ASYA INFOSOFT,BSE
425729,1663,ATFL,AGRO TECH FOODS,NSE
1552897,6066,ATGL,ADANI TOTAL GAS,NSE
135727876,530187,ATHARVENT,ATHARV ENTERPRISES.,BSE
132461828,517429,ATHENAGLO,ATHENA GLOBAL TECHNOLOGIES LIM,BSE
137910532,538713,ATISHAY,ATISHAY ,BSE
3477761,13585,ATLANTA,ATLANTA,NSE
67329,263,ATUL,ATUL,NSE
7685889,30023,ATULAUTO,ATUL AUTO,NSE
128007172,500028,ATVPR,ATV PROJECTS INDIA.,BSE
5436929,21238,AUBANK,AU SMALL FINANCE BANK,NSE
3077633,12022,AURIONPRO,AURIONPRO SOLN,NSE
136022020,531336,AUROCOK,AUROMA COKE.,BSE
135739652,530233,AUROLAB,AURO LABORATORIES.,BSE
70401,275,AUROPHARMA,AUROBINDO PHARMA,NSE
1033473,4037,AUSOMENT,AUSOM ENTERPRISE,NSE
133633284,522005,AUSTENG,AUSTIN ENGINEERING CO.LTD.,BSE
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,NSE
3611137,14106,AUTOIND,AUTOLINE INDUSTRIES,NSE
131142916,512277,AUTOINT,AUTORIDERS INTERNATIONAL.,BSE
136190468,531994,AUTOPINS,AUTO PINS (INDIA).,BSE
5479937,21406,AVADHSUGAR,AVADH SUG & ENERGY,NSE
136015364,531310,AVAILFC,AVAILABLE FINANCE.,BSE
136295940,532406,AVANTEL,AVANTEL.,BSE
131218692,512573,AVANTI,AVANTI FEEDS.,BSE
2031617,7936,AVANTIFEED,AVANTI FEEDS,NSE
138057732,539288,AVI,AVI POLYMERS.,BSE
131099908,512109,AVIVA,AVIVA INDUSTRIES.,BSE
138292484,540205,AVL,ADITYA VISION ,BSE
130966788,511589,AVONMORE,AVONMORE CAPITAL & MANAGEMENT,BSE
3586049,14008,AVTNPL,AVT NATURAL PRODUCTS,NSE
460033,1797,AWHCL,ANTONY WASTE HDG CELL,NSE
131492356,513642,AXELPOLY,AXEL POLYMERS.,BSE
1510401,5900,AXISBANK,AXIS BANK,NSE
267265,1044,AXISBNKETF,AXISAMC - AXISBNKETF,NSE
2415617,9436,AXISCADES,AXISCADES TECH,NSE
138513412,541068,AXISCBD1D,AXIS MUTUAL FUND,BSE
5256193,20532,AXISGOLD,AXIS MF - AXIS GOLD ETF,NSE
5440513,21252,AXISNIFTY,AXISAMC - AXISNIFTY,NSE
770561,3010,AXISTECETF,AXISAMC - AXISTECETF,NSE
134105604,523850,AXTEL,AXTEL INDUSTRIES.,BSE
2632961,10285,AYMSYNTEX,AYM SYNTEX,NSE
136004612,531268,B2BSOFT,B2B SOFTWARE TECHNOLOGIES.,BSE
136289284,532380,BABA,BABA ARTS.,BSE
4541953,17742,BAFNAPH,BAFNA PHARMACEUTICALS,NSE
136445188,532989,BAFNAPHARM,BAFNA PHARMACEUTICALS.,BSE
3603201,14075,BAGFILMS-BE,B.A.G FILMS AND MEDIA,NSE
4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,NSE
4999937,19531,BAJAJCON,BAJAJ CONSUMER CARE,NSE
3848705,15034,BAJAJELEC,BAJAJ ELECT.LTD,NSE
4268801,16675,BAJAJFINSV,BAJAJ FINSERV.,NSE
138207236,539872,BAJAJHCARE,BAJAJ HEALTHCARE ,BSE
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,NSE
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,NSE
130033668,507944,BAJAJST,BAJAJ STEEL INDUSTRIES.,BSE
81153,317,BAJFINANCE,BAJAJ FINANCE,NSE
131138820,512261,BAJGLOB,BAJAJ GLOBAL.,BSE
130851588,511139,BAJRFIN,BAJRANG FINANCE.,BSE
2344449,9158,BALAJITELE,BALAJI TELEFILMS,NSE
3712257,14501,BALAMINES,BALAJI AMINES,NSE
2895105,11309,BALAXI,BALAXI PHARMA,NSE
131001348,511724,BALFC,BAID LEASING AND FINANCE CO.LT,BSE
138197508,539834,BALGOPAL,BALGOPAL COMMERCIAL ,BSE
2606337,10181,BALKRISHNA,BALKRISHNA PAPER MILLS L,NSE
85761,335,BALKRISIND,BALKRISHNA IND.,NSE
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,NSE
3441665,13444,BALPHARMA-BE,BAL PHARMA.,NSE
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,NSE
133152516,520127,BALTE,BALURGHAT TECHNOLOGIES.,BSE
135964676,531112,BALUFORGE,BALU FORGE INDUSTRIES,BSE
132939524,519295,BAMBINO,BAMBINO AGRO INDUSTRIES.,BSE
136087300,531591,BAMPSL,BAMPSL SECURITIES.,BSE
88833,347,BANARBEADS,BANARAS BEADS,NSE
89601,350,BANARISUG,BANNARI AMMAN SUGARS,NSE
130317572,509053,BANASFN,BANAS FINANCE.,BSE
3553281,13880,BANCOINDIA,BANCO PRODUCTS (I),NSE
579329,2263,BANDHANBNK,BANDHAN BANK,NSE
3917569,15303,BANG,BANG OVERSEAS.,NSE
210433,822,BANKA,BANKA BIOLOO,NSE
1195009,4668,BANKBARODA,BANK OF BARODA,NSE
2928385,11439,BANKBEES,NIP IND ETF BANK BEES,NSE
1214721,4745,BANKINDIA,BANK OF INDIA,NSE
3714817,14511,BANSWRAS,BANSWARA SYNTEX,NSE
133935620,523186,BAPACK,B&A PACKAGING INDIA,BSE
800513,3127,BARBEQUE,BARBEQUE NATION HOSP.,NSE
131456516,513502,BAROEXT,BARODA EXTRUSION.,BSE
134319876,524687,BASANTGL,BASANT AGRO TECH (INDIA).,BSE
94209,368,BASF,BASF INDIA,NSE
3080705,12034,BASML,BANNARI AM SPIN MILL.,NSE
94977,371,BATAINDIA,BATA INDIA,NSE
133633028,522004,BATLIBOI,BATLIBOI.,BSE
4589313,17927,BAYERCROP,BAYER CROPSCIENCE,NSE
138226180,539946,BAZELINTER,BAZEL INTERNATIONAL ,BSE
3522817,13761,BBL,BHARAT BIJLEE,NSE
97281,380,BBTC,BOMBAY BURMAH TRADING COR,NSE
132414980,517246,BCCFUBA,BCC FUBA INDIA.,BSE
2261249,8833,BCG,BRIGHTCOM GROUP,NSE
138142980,539621,BCLENTERPR,BCL ENTERPRISES ,BSE
643329,2513,BCLIND,BCL INDUSTRIES,NSE
2985473,11662,BCP,B.C. POWER CONTROLS,NSE
138766596,542057,BCPL,BCPL RAILWAY INFRASTRUCTURE LI,BSE
134355972,524828,BDH,BDH INDUSTRIES.,BSE
548865,2144,BDL,BHARAT DYNAMICS,NSE
4590849,17933,BEARDSELL,BEARDSELL,NSE
416769,1628,BECTORFOOD,MRS BECTORS FOOD SPE,NSE
5170177,20196,BEDMUTHA,BEDMUTHA INDUST,NSE
137988612,539018,BEEKAY,BEEKAY STEEL INDUSTRIES.,BSE
136357124,532645,BEEYU,BEEYU OVERSEAS.,BSE
98049,383,BEL,BHARAT ELECTRONICS,NSE
138086148,539399,BELLACASA,BELLA CASA FASHION & RETAIL LI,BSE
133798404,522650,BEMHY,BEMCO HYDRAULICS.,BSE
101121,395,BEML,BEML,NSE
130416132,509438,BENARAS,BENARES HOTELS.,BSE
136472324,533095,BENGALASM,BENGAL & ASSAM COMPANY.,BSE
136250884,532230,BENGALT,BENGAL TEA & FABRICS.,BSE
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,NSE
103425,404,BERGEPAINT,BERGER PAINTS (I),NSE
134299140,524606,BERLDRG,BERYL DRUGS.,BSE
136023044,531340,BERVINL,BERVIN INVESTMENT & LEASING LT,BSE
136084996,531582,BERYLSE,BERYL SECURITIES.,BSE
590337,2306,BESTAGRO,BEST AGROLIFE,NSE
130217988,508664,BESTEAST,BEST EASTERN HOTELS.,BSE
131194116,512477,BETXIND,BETEX INDIA.,BSE
138014724,539120,BFFL,BANGALORE FORT FARMS ,BSE
5404929,21113,BFINVEST,BF INVESTMENT,NSE
